,Z0,Z1,Z2,Z3,Z4,V0,V1,W0,W1,W2,H0,H1,D,Y
0,-0.073161095,-2.042268,-4.35909,-1.5639893,-3.2540405,2.1686037,2.6233985,-0.6059587,0.12946272,-0.36416358,0.4710465,0.19085857,4.029126,4.5215654
1,1.6092923,1.4116734,4.151544,-1.1067749,1.077813,-0.16083848,-2.9770942,-0.7372799,0.0742822,-0.63713,1.0689156,-2.4545577,-7.7176027,-8.912122
2,0.2995354,2.03551,-0.32634842,-4.2381964,-3.191371,2.2285767,0.84563524,-0.14916995,-0.88455,-1.9591119,1.336474,-0.79359883,-1.2622046,1.1549218
3,-0.45392737,-1.262636,-1.6418122,2.6181855,1.3306218,-1.3710834,0.6979561,1.3862654,0.6499422,1.0208665,-0.5549442,0.88521343,3.6666586,4.543873
4,-0.7917576,-0.5786928,0.9030744,-0.29315576,-0.25880295,1.2156414,-0.042293236,-2.825966,-0.94546586,0.5264674,0.33683822,-0.065531,-2.4973388,-1.4767275
5,0.7363327,0.32431293,-1.9338342,-1.8685414,-1.8728752,1.7918991,1.2166245,1.222507,-0.30849272,-1.0326663,0.87499374,-0.3811893,2.1749144,3.4725432
6,1.4480286,0.31453633,0.8298627,-0.99560404,-0.22465712,-0.12867548,-1.1466012,0.5408592,0.71113247,-0.72373444,0.23119344,0.7108998,-0.5468535,0.6232134
7,-1.2458638,2.3926313,3.8963945,-1.8974004,-0.13717547,0.6604007,-1.1581565,-2.9689486,-1.6570041,-0.37796602,0.2507032,0.09241889,-2.7463975,-5.073476
8,1.218196,-1.1559416,-0.79020715,0.570083,0.37600935,0.813721,-0.1372203,0.7183737,0.2421512,0.17559376,-0.095670864,0.094624944,-0.8200915,-0.5810266
9,1.5837013,0.9532762,2.0053828,-0.15489213,1.2614528,0.4489752,-1.6249297,1.0827341,-0.2106207,-0.40145472,1.4906895,-0.5278616,0.91831136,3.9803495
10,2.3835688,-0.99697495,2.6769943,0.78134364,2.0175872,0.8244481,-2.6921864,-0.64875585,0.17482048,0.39415306,0.877322,-1.5838022,-3.934502,-5.319273
