,Z0,Z1,Z2,Z3,Z4,V0,V1,W0,W1,W2,H0,H1,D,Y
0,2.3410532,-2.8463347,-1.683583,0.77792263,0.0972036,1.010264,-0.42574024,0.51968944,1.1595933,0.3099175,0.78496885,1.0009811,2.6958003,5.413122
1,-1.0853268,0.24827377,0.5625659,0.6051556,0.46582225,-0.5850992,0.10445731,-0.76892656,-0.333142,0.4526763,-0.38977635,0.0010145501,-3.2829556,-5.3760533
2,-3.2852666,3.425196,-2.297826,-3.2008543,-3.8984964,-2.3138387,2.9972804,1.0748934,0.27997074,-1.7996695,-2.3432877,3.0220437,2.1998768,1.9130583
3,1.9782705,-1.6884011,0.43383473,0.7148509,0.9569868,1.0220333,-1.276077,-0.17007887,0.39529383,0.36934978,0.506358,-3.0952556,-4.883134,-8.107773
4,0.63296413,-2.2522316,-1.0848145,0.954176,0.11627882,0.5717433,0.034083776,-0.8230431,0.4859336,0.7004032,-0.19068015,-0.014405405,1.6764743,2.6228962
5,0.70336026,-0.7456285,0.6931629,0.83910674,0.9180737,-0.5021335,-0.9755578,-0.1506349,0.55313945,0.36230338,1.0020014,-0.5208446,-1.6164709,0.21829844
6,0.5757628,0.07048819,-0.4156384,0.3224852,0.27707252,-0.7146398,-0.14655536,1.4257596,0.63586223,-0.19451514,-1.0437459,0.40717894,0.23670894,-2.3551047
7,0.03821361,2.236146,2.5617716,-0.57827216,0.76343346,-1.5183723,-1.4176675,0.6761042,0.14449129,-0.6331989,0.40467614,-0.7727205,-3.3730786,-2.7770712
8,-0.36348054,-1.2019542,-0.49301672,1.8902425,1.0079046,-1.4987805,-0.063002706,0.048461102,0.82087946,0.8685053,-1.0191584,-0.47007397,-2.395338,-4.7030096
9,-1.4787604,2.868484,2.9396162,-1.8254628,-0.40647176,-0.4150334,-0.6128652,-1.5250236,-1.0940741,-0.67601967,0.20134343,-0.30136296,-4.266745,-4.1745343
10,-0.26528555,-1.5618984,-3.078127,-1.4736035,-2.8234994,0.95081437,1.7887552,-1.0073992,0.5450898,-0.36441046,0.034817502,0.21881653,1.5622393,1.8184198
11,-1.0356213,-6.784112,-8.896995,4.5312386,-0.7168374,0.6614089,4.6170583,0.62545985,1.2386042,2.5655425,0.2820895,3.4697866,11.115524,15.153313
12,-0.53496104,0.5845795,0.3058053,-0.33352625,-0.24335845,-0.43594086,0.08155513,-0.22533794,-0.05203952,-0.14262758,-1.978828,-0.36883,-1.6391202,-4.4812303
13,0.22696145,1.489646,3.103522,-0.18624848,1.0020527,-2.4957297,-2.183626,-0.15955213,0.96336687,-0.3687922,-0.7143164,0.01907894,-3.5217407,-4.729415
14,-0.5444082,2.2665002,1.0785806,-2.779763,-1.6584775,1.0155364,0.2232561,-0.6720698,-1.0257556,-1.2087054,-0.12758891,0.14265932,-2.149393,-0.03949213
15,-1.967061,-0.584819,-2.6769578,-1.7626083,-3.1617448,0.7498392,2.4818394,-2.0371563,-0.2674135,-0.24949844,-0.7367066,0.4987045,1.3528476,0.84748065
16,1.2591647,0.82530886,2.6392727,-0.7478868,0.9187026,1.7955995,-1.6062378,-0.6405358,-1.1082019,-0.25398383,1.1829351,-0.36199996,-2.3939447,-1.2567208
17,1.7403128,-1.3737025,-1.2042305,-1.0340048,-1.3177536,0.08441627,-0.37929896,0.25007245,1.4969735,-0.61885417,0.75822115,0.35388926,0.85186076,2.3866801
18,2.893349,-2.5812438,2.71636,3.6154468,4.12749,-1.4249017,-3.6871738,0.18202215,1.646125,1.467568,0.14259268,-1.257533,-2.658019,-2.8568733
19,-0.4466108,-2.4122612,-4.4221764,0.7591548,-1.494424,0.17239082,2.3886461,0.5951418,0.8297342,0.44074854,-1.060709,1.6862161,6.577104,5.9432087
20,-2.8425062,1.2325361,0.42740676,0.9612488,0.4006378,-2.188166,0.858662,-0.68453807,-0.33919334,0.5804867,-0.4265883,1.9479994,0.6404141,2.3046856
21,-1.8964034,4.2150807,3.310729,-1.4448463,0.14393899,-2.4071884,-0.7800485,0.13342486,-0.51534027,-0.9648888,-1.9617795,-0.09135018,-5.647205,-9.529521
22,-0.8083499,0.32171154,-1.0179785,0.033224907,-0.5851099,-1.4961525,0.7203436,0.7048467,0.69850385,-0.17229858,-1.6267416,0.9461953,1.1746434,-0.65251505
23,0.09509713,-3.1440341,-5.3482194,2.310551,-0.2858828,0.795336,2.7177205,2.0470073,0.54280347,0.99147105,0.30923513,1.1112036,6.9719577,8.308914
24,-0.00950937,1.6468368,0.9884688,-1.0674472,-0.3118635,-0.8564483,-0.45399022,0.71090156,0.19330192,-0.7857898,-2.2321677,0.09337197,-4.559262,-6.866784
25,-1.1211954,1.448768,1.322081,-1.3290554,-0.80578846,-0.6459518,-0.14768207,-1.2697227,-0.2697708,-0.459717,-0.095170066,-1.0425934,-3.3091176,-6.3611197
26,-1.8739738,4.480668,2.322448,-4.076539,-2.3133986,0.021001503,0.30374855,-0.9778868,-1.401716,-1.8609693,0.15371832,-0.13951181,-3.9140587,-3.4498367
27,2.812821,-2.2876647,1.4207057,2.954555,3.3352199,-0.023310095,-2.5330455,0.9005776,0.8961544,1.1414553,-0.20808479,0.23975226,-0.3251559,-0.9953208
28,-0.9138492,2.2076764,2.019076,-1.4817456,-0.27435112,0.69866586,-0.21123385,-0.9381241,-1.395894,-0.52948654,0.20214441,-1.8300706,-6.0817127,-8.231141
29,-2.7724593,5.867525,3.866263,-1.9837844,-0.024770059,-3.2480779,-0.56028044,0.68864775,-0.76115644,-1.3925635,-1.9959676,0.6975633,-4.3473477,-5.827928
30,-0.298288,-1.9941759,-0.14470196,3.0647736,1.9579394,-1.9674897,-0.5343379,-0.30717784,1.0709301,1.4878454,-1.3656976,-0.7626508,-1.8224201,-4.2865996
31,0.42010668,0.59057254,1.6401975,-0.0210558,0.8161683,0.23489872,-0.99407995,-0.21236998,-0.38034135,-0.021059772,0.6120492,-1.1563697,-2.836057,-3.861084
32,1.9466425,1.9767078,2.26553,-2.5617833,-0.38045448,1.9000609,-1.4857543,0.6115339,-0.7696755,-1.444875,1.7691514,-1.5923129,-2.385742,-1.7467
33,-1.5412252,2.905026,3.6893585,-1.8856947,-0.26813468,-0.64196974,-1.0737321,-2.1994312,-1.0450122,-0.6093074,-0.7413708,-0.78174615,-7.112357,-8.229102
34,0.42546397,2.8396313,4.266632,-1.1987785,1.062692,-0.8963727,-2.365925,-0.11933085,-0.35642707,-0.8123059,0.2747425,-1.1895918,-6.566863,-8.028849
35,-0.624995,-3.9204295,-4.0292807,1.9824277,-0.8500674,-0.8721219,1.7284908,-0.90958655,1.6029778,1.2810777,-0.8591573,-0.12480652,2.6825569,2.269092
36,0.82873905,-3.4783099,-5.228454,-0.16838688,-2.4913435,1.2749788,2.2732427,0.34323457,1.2821609,0.068457015,0.61380774,1.0876989,5.602153,8.140816
37,-1.8516508,3.4520621,2.281995,-1.8257802,-0.6794502,-1.6641645,-0.19864556,-0.3702854,-0.51783043,-0.96895784,-1.8977494,-0.6302087,-4.597549,-8.345382
38,-3.0477793,-1.3573552,-3.2745612,0.19309063,-2.124987,-0.27686045,3.0034416,-2.108363,-0.19192171,0.75239706,0.28292802,1.379014,3.6882584,6.2002945
39,-0.029686168,0.76551414,0.8682079,-0.57654196,0.073113136,1.0378288,-0.13424546,-0.33215085,-0.9138645,-0.17040035,0.14192408,-0.018762775,-0.10490519,0.6591145
40,-0.9383585,0.9409132,0.81024665,-0.56985265,-0.23966594,0.17020358,0.16510218,-0.88005644,-0.72901213,-0.079190835,-0.15178584,-0.8334791,-1.2340368,-2.4146914
41,2.5773706,-1.5888714,-0.88351035,1.4518921,1.2064072,-1.0485381,-1.1720831,2.6194494,1.9336396,0.031097746,-0.042726535,0.8043421,1.4283322,2.0244544
42,-0.16942978,0.26979584,-1.6744224,-0.87962294,-1.3929788,-0.5496236,0.98659766,1.0558045,0.6456004,-0.64425963,-1.1236227,-0.23136128,0.6192049,-2.3991458
43,0.6623432,-1.096413,-0.830494,0.081185915,-0.27418634,0.5626776,0.08511457,-0.09071389,0.31901795,0.09769813,-0.26764435,-0.18755636,-1.7745986,-3.577025
